,image_index,label,mineral,format,file_size,mode,image_width,image_height,aspect_ratio
image_0.jpg,0,1,Silver,JPEG,52135,RGB,356,403,0.8833746898263027
image_1.jpg,1,1,Silver,JPEG,58291,RGB,423,338,1.2514792899408285
image_2.jpg,2,1,Silver,JPEG,29233,RGB,335,428,0.7827102803738317
image_3.jpg,3,1,Silver,JPEG,7648,RGB,277,289,0.9584775086505191
image_4.jpg,4,1,Silver,JPEG,47213,RGB,401,357,1.123249299719888
image_5.jpg,5,1,Silver,JPEG,51143,RGB,370,387,0.9560723514211886
image_6.jpg,6,1,Stephanite,JPEG,57024,RGB,401,354,1.1327683615819208
image_7.jpg,7,1,Silver,JPEG,36494,RGB,377,380,0.9921052631578947
image_8.jpg,8,1,Silver,JPEG,37013,RGB,332,431,0.7703016241299304
image_9.jpg,9,1,Silver,JPEG,51108,RGB,356,402,0.8855721393034826
image_10.jpg,10,1,Silver,JPEG,47608,RGB,341,422,0.8080568720379147
image_11.jpg,11,1,Silver,JPEG,47991,RGB,337,428,0.7873831775700935
image_12.jpg,12,1,Silver,JPEG,34370,RGB,445,322,1.3819875776397517
image_13.jpg,13,1,Silver,JPEG,26419,RGB,306,461,0.6637744034707158
image_14.jpg,14,1,Stephanite,JPEG,24964,RGB,388,370,1.0486486486486486
image_15.jpg,15,1,Pyrargyrite,JPEG,37803,RGB,402,362,1.1104972375690607
image_16.jpg,16,1,Acanthite,JPEG,25695,RGB,361,396,0.9116161616161617
image_17.jpg,17,1,Acanthite,JPEG,27277,RGB,366,391,0.9360613810741688
image_18.jpg,18,1,Stephanite,JPEG,24085,RGB,364,395,0.9215189873417722
image_19.jpg,19,1,Silver,JPEG,49403,RGB,399,359,1.1114206128133706
image_20.jpg,20,1,Silver,JPEG,51810,RGB,412,348,1.1839080459770115
image_21.jpg,21,1,Silver,JPEG,48021,RGB,359,393,0.9134860050890585
image_22.jpg,22,1,Silver,JPEG,32984,RGB,349,411,0.8491484184914841
image_23.jpg,23,1,Silver,JPEG,62282,RGB,453,315,1.438095238095238
image_24.jpg,24,1,Proustite,JPEG,20447,RGB,381,376,1.0132978723404256
image_25.jpg,25,1,Silver,JPEG,15679,RGB,315,455,0.6923076923076923
image_26.jpg,26,1,Silver,JPEG,18549,RGB,322,444,0.7252252252252253
image_27.jpg,27,1,Silver,JPEG,15520,RGB,324,442,0.7330316742081447
image_28.jpg,28,1,Chlorargyrite,JPEG,32071,RGB,359,314,1.143312101910828
image_29.jpg,29,1,Silver,JPEG,83961,RGB,800,533,1.5009380863039399
image_30.jpg,30,1,none,none,none,none,none,none,none
image_31.jpg,31,1,Silver,JPEG,25273,RGB,472,354,1.3333333333333333
image_32.jpg,32,1,Pyrargyrite,JPEG,33836,RGB,472,419,1.126491646778043
image_33.jpg,33,1,Proustite,JPEG,36601,RGB,533,800,0.66625
image_34.jpg,34,1,Proustite,JPEG,46045,RGB,533,800,0.66625
image_35.jpg,35,1,Proustite,JPEG,47527,RGB,480,640,0.75
image_36.jpg,36,1,Polybasite,JPEG,64282,RGB,480,640,0.75
image_37.jpg,37,1,Silver,JPEG,25520,RGB,299,287,1.0418118466898956
image_38.jpg,38,1,Silver,JPEG,61015,RGB,174,300,0.58
image_39.jpg,39,1,Silver,JPEG,22263,RGB,472,354,1.3333333333333333
image_40.jpg,40,1,Silver,JPEG,36128,RGB,472,354,1.3333333333333333
image_41.jpg,41,1,Silver,JPEG,41484,RGB,447,321,1.3925233644859814
image_42.jpg,42,1,Silver,JPEG,42862,RGB,339,421,0.8052256532066508
image_43.jpg,43,1,Silver,JPEG,43833,RGB,356,403,0.8833746898263027
image_44.jpg,44,1,Silver,JPEG,54645,RGB,420,341,1.2316715542521994
image_45.jpg,45,1,Silver,JPEG,56588,RGB,444,366,1.2131147540983607
image_46.jpg,46,1,Silver,JPEG,39902,RGB,440,327,1.345565749235474
image_47.jpg,47,1,Silver,JPEG,35810,RGB,394,366,1.0765027322404372
image_48.jpg,48,1,Silver,JPEG,37423,RGB,373,391,0.9539641943734015
image_49.jpg,49,1,Silver,JPEG,37851,RGB,379,378,1.0026455026455026
image_50.jpg,50,1,Silver,JPEG,19372,RGB,412,351,1.1737891737891737
image_51.jpg,51,1,Silver,JPEG,21489,RGB,272,455,0.5978021978021978
image_52.jpg,52,1,Silver,JPEG,14463,RGB,307,455,0.6747252747252748
image_53.jpg,53,1,Silver,JPEG,19126,RGB,240,455,0.5274725274725275
image_54.jpg,54,1,Silver,JPEG,23248,RGB,252,455,0.5538461538461539
image_55.jpg,55,1,Silver,JPEG,16476,RGB,319,445,0.7168539325842697
image_56.jpg,56,1,Silver,JPEG,18588,RGB,323,445,0.7258426966292135
image_57.jpg,57,1,Silver,JPEG,21177,RGB,379,381,0.994750656167979
image_58.jpg,58,1,Silver,JPEG,45968,RGB,396,365,1.084931506849315
image_59.jpg,59,1,Silver,JPEG,47240,RGB,442,325,1.36
image_60.jpg,60,1,Silver,JPEG,45736,RGB,640,480,1.3333333333333333
image_61.jpg,61,1,Silver,JPEG,46705,RGB,403,360,1.1194444444444445
image_62.jpg,62,1,Silver,JPEG,36262,RGB,396,362,1.0939226519337018
image_63.jpg,63,1,Silver,JPEG,36906,RGB,393,365,1.0767123287671232
image_64.jpg,64,1,Silver,JPEG,32539,RGB,369,390,0.9461538461538461
image_65.jpg,65,1,Silver,JPEG,31187,RGB,413,348,1.1867816091954022
image_66.jpg,66,1,Pyrargyrite,JPEG,58666,RGB,355,407,0.8722358722358723
image_67.jpg,67,1,Silver,JPEG,30410,RGB,348,413,0.8426150121065376
image_68.jpg,68,1,Pyrargyrite,JPEG,36810,RGB,417,346,1.2052023121387283
image_69.jpg,69,1,Silver,JPEG,26555,RGB,420,335,1.2537313432835822
image_70.jpg,70,1,Silver,JPEG,53869,RGB,435,329,1.3221884498480243
image_71.jpg,71,1,Silver,JPEG,35070,RGB,337,429,0.7855477855477856
image_72.jpg,72,1,Silver,JPEG,33887,RGB,288,501,0.5748502994011976
image_73.jpg,73,1,Silver,JPEG,56922,RGB,397,361,1.0997229916897506
image_74.jpg,74,1,Silver,JPEG,26424,RGB,374,272,1.375
image_75.jpg,75,1,Silver,JPEG,71978,RGB,350,295,1.1864406779661016
image_76.jpg,76,1,Proustite,JPEG,18854,RGB,350,248,1.4112903225806452
image_77.jpg,77,1,Proustite,JPEG,40613,RGB,463,379,1.2216358839050132
image_78.jpg,78,1,Silver,JPEG,23376,RGB,303,350,0.8657142857142858
image_79.jpg,79,1,Silver,JPEG,45443,RGB,350,328,1.0670731707317074
image_80.jpg,80,1,Silver,JPEG,32082,RGB,350,228,1.5350877192982457
image_81.jpg,81,1,Silver,JPEG,50051,RGB,350,265,1.320754716981132
image_82.jpg,82,1,Proustite,JPEG,16091,RGB,272,350,0.7771428571428571
image_83.jpg,83,1,Silver,JPEG,22447,RGB,315,350,0.9
image_84.jpg,84,1,Silver,JPEG,23489,RGB,330,350,0.9428571428571428
image_85.jpg,85,1,Silver,JPEG,12510,RGB,350,251,1.3944223107569722
image_86.jpg,86,1,Pyrargyrite,JPEG,16059,RGB,350,305,1.1475409836065573
image_87.jpg,87,1,Pyrargyrite,JPEG,11525,RGB,350,319,1.09717868338558
image_88.jpg,88,1,Silver,JPEG,34631,RGB,387,372,1.0403225806451613
image_89.jpg,89,1,Silver,JPEG,48899,RGB,373,384,0.9713541666666666
image_90.jpg,90,1,Silver,JPEG,52595,RGB,366,393,0.9312977099236641
image_91.jpg,91,1,Silver,JPEG,42145,RGB,449,320,1.403125
image_92.jpg,92,1,Silver,JPEG,10665,RGB,264,350,0.7542857142857143
image_93.jpg,93,1,Pyrargyrite,JPEG,19778,RGB,340,350,0.9714285714285714
image_94.jpg,94,1,Silver,JPEG,22006,RGB,342,410,0.8341463414634146
image_95.jpg,95,1,Chlorargyrite (Var: Bromian Chlorargyrite),JPEG,51414,RGB,401,365,1.0986301369863014
image_96.jpg,96,1,Chlorargyrite (Var: Bromian Chlorargyrite),JPEG,59022,RGB,401,370,1.0837837837837838
image_97.jpg,97,1,Silver,JPEG,34620,RGB,462,312,1.4807692307692308
image_98.jpg,98,1,Silver,JPEG,54394,RGB,409,358,1.1424581005586592
image_99.jpg,99,1,Pyrargyrite,JPEG,44733,RGB,476,332,1.4337349397590362
image_100.jpg,100,1,Silver,JPEG,39609,RGB,489,350,1.3971428571428572
image_101.jpg,101,1,Acanthite,JPEG,19608,RGB,360,397,0.906801007556675
image_102.jpg,102,1,Silver,JPEG,89350,RGB,640,480,1.3333333333333333
image_103.jpg,103,1,Polybasite,JPEG,41620,RGB,640,480,1.3333333333333333
image_104.jpg,104,1,Polybasite,JPEG,66522,RGB,640,480,1.3333333333333333
image_105.jpg,105,1,Silver,JPEG,18078,RGB,552,449,1.2293986636971046
image_106.jpg,106,1,Silver,JPEG,29558,RGB,218,400,0.545
image_107.jpg,107,1,Pyrargyrite,JPEG,36686,RGB,400,329,1.21580547112462
image_108.jpg,108,1,Silver,JPEG,59072,RGB,324,352,0.9204545454545454
image_109.jpg,109,1,Silver,JPEG,17487,RGB,563,447,1.2595078299776286
image_110.jpg,110,1,Silver,JPEG,53266,RGB,600,450,1.3333333333333333
image_111.jpg,111,1,Chlorargyrite,JPEG,72392,RGB,600,452,1.3274336283185841
