mineral_name,image_url,downloaded,is_silver,is_hard_negative
Galena,https://www.mindat.org/photos/699/16/0699167001259349578.jpg,1,False,True
Arsenopyrite,https://www.mindat.org/xpic.php?fname=0004594001422912443.jpg&h=8c51d9ebeaa1a97d652ca94c0f1f8180,0,False,True
Hematite,https://www.mindat.org/photos/805/09/0805095001401484050.jpg,1,False,True
Galena,https://www.mindat.org/photos/815/80/08158060014371196313768.jpg,1,False,True
Hematite (Var: Martite),https://www.mindat.org/xpic.php?fname=0104938001236512794.jpg&h=3ef5cafac8559e5ba7f34c4c75958710,0,False,True
Hematite,https://www.mindat.org/xpic.php?fname=0807694001309087191.jpg&h=e8ec359b5a46bf50333e7ed15dd88a0c,0,False,True
Pyrite,https://www.mindat.org/xpic.php?fname=0183410001333219832.jpg&h=3168209fa7a3fa29dbbaef5a5b210c96,0,False,True
Molybdenite,https://www.mindat.org/xpic.php?fname=0698432001207562632.jpg&h=c58085a7066f8cf7b0d3b64710a2c4b9,0,False,True
Hematite,https://www.mindat.org/photos/151/12/0151126001112737640.jpg,1,False,True
Stibnite,https://www.mindat.org/photos/724/89/0724890001429424549.jpg,1,False,True
Sphalerite,https://www.mindat.org/photos/169/92/0169929001309748411.jpg,1,False,True
Chalcopyrite,https://www.mindat.org/photos/416/58/0416580001355583320.jpg,1,False,True
Stibnite,https://www.mindat.org/photos/288/85/0288851001272401126.jpg,1,False,True
Hematite,https://www.mindat.org/photos/055/48/0055485001306266416.jpg,1,False,True
Arsenopyrite,https://www.mindat.org/xpic.php?fname=0485997001382807796.jpg&h=28f22543fd366bf2fe34fc4471c2394e,0,False,True
Pyrite,https://www.mindat.org/xpic.php?fname=0272163001350648048.jpg&h=46005b66b765f6c0fdf87e3447dfda77,0,False,True
Galena,https://www.mindat.org/photos/416/10/0416103001248716007.jpg,1,False,True
Sphalerite,https://www.mindat.org/photos/819/00/0819001001061325302.jpg,1,False,True
Pyrite,https://www.mindat.org/photos/741/84/0741845001128697525.jpg,1,False,True
Sphalerite,https://www.mindat.org/photos/526/26/0526267001355420997.jpg,1,False,True
Pyrite,https://www.mindat.org/photos/831/30/08313010011974643802.jpg,1,False,True
Stibnite,https://www.mindat.org/photos/817/50/0817501001429424287.jpg,1,False,True
Pyrite,https://www.mindat.org/xpic.php?fname=0140489001294083312.jpg&h=74e26e48efef398ca64bec9aab5b8d01,0,False,True
Sphalerite,https://www.mindat.org//imagecache/8e/62/03526530014959149287761.jpg,0,False,True
Pyrite,https://www.mindat.org/photos/008/75/0008753001425331825.jpg,1,False,True
Stibnite,https://www.mindat.org/photos/390/88/0390881001213399177.jpg,1,False,True
Sphalerite,https://www.mindat.org/photos/404/50/0404502001232536562.jpg,1,False,True
Pyrite,https://www.mindat.org/xpic.php?fname=0972619001226419259.jpg&h=76dacb0e0f50e7941aad56ea0a1f3629,0,False,True
Graphite,https://www.mindat.org/photos/813/39/0813391001275312577.jpg,1,False,True
Pyrite,https://www.mindat.org/photos/045/84/00458450014574257519028.jpg,1,False,True
Stibnite,https://www.mindat.org/photos/283/34/0283342001127157355.jpg,1,False,True
Chalcopyrite,https://www.mindat.org//imagecache/a3/50/08141560014977675044851.jpg,0,False,True
Hematite,https://www.mindat.org/photos/705/06/0705067001231886300.jpg,1,False,True
Galena,https://www.mindat.org/photos/367/45/0367450001265278085.jpg,1,False,True
Sphalerite,https://www.mindat.org/photos/024/89/0024891001301716504.jpg,1,False,True
Arsenopyrite,https://www.mindat.org/photos/415/25/0415256001262457917.jpg,1,False,True
Sphalerite,https://www.mindat.org/xpic.php?fname=0086929001377842509.jpg&h=ae40e54e7edc96df4ed0aade6e661536,0,False,True
Sphalerite,https://www.mindat.org/photos/484/62/0484621001243107638.jpg,1,False,True
Chalcopyrite,https://www.mindat.org/photos/156/01/0156014001280509201.jpg,1,False,True
Sphalerite,https://www.mindat.org/photos/807/82/0807827001258333621.jpg,1,False,True
Pyrite,https://www.mindat.org/photos/773/00/0773008001147187993.jpg,1,False,True
Stibnite,https://www.mindat.org//imagecache/48/2f/08894400014963593456767.jpg,0,False,True
Molybdenite,https://www.mindat.org/photos/160/85/0160850001166778588.jpg,1,False,True
Arsenopyrite,https://www.mindat.org/photos/372/55/0372559001299537550.jpg,1,False,True
Hematite,https://www.mindat.org/photos/091/96/0091960001254241778.jpg,1,False,True
Pyrite,https://www.mindat.org//imagecache/de/8b/02044440014956538023621.jpg,0,False,True
Hematite (Var: Rainbow Hematite),https://www.mindat.org/photos/748/79/0748791001160377765.jpg,1,False,True
Pyrite,https://www.mindat.org/photos/106/35/0106358001300731872.jpg,1,False,True
Pyrite,https://www.mindat.org/xpic.php?fname=0215026001304480056.jpg&h=924742c3b3fecdf2af4d078e172de0fb,0,False,True
Galena,https://www.mindat.org/photos/041/36/0041367001135226175.jpg,1,False,True
Pyrite,https://www.mindat.org//imagecache/44/b9/09070850014952278895408.jpg,0,False,True
Pyrite,https://www.mindat.org/photos/474/29/0474297001180533724.jpg,1,False,True
Pyrite,https://www.mindat.org/photos/964/21/0964215001243343573.jpg,1,False,True
Arsenopyrite - Missing Label -Stereo,https://www.mindat.org/xpic.php?fname=0937780001333066735.jpg&h=91611a7868a1d54796d3824cfdcc910b,0,False,True
Pyrite,https://www.mindat.org/photos/864/70/0864702001164838872.jpg,1,False,True
Molybdenite,https://www.mindat.org/photos/627/35/0627357001261706262.jpg,1,False,True
Hematite,https://www.mindat.org/photos/443/08/0443089001269770152.jpg,1,False,True
Sphalerite,https://www.mindat.org/photos/120/72/0120720001255942517.jpg,1,False,True
Stibnite,https://www.mindat.org/xpic.php?fname=0174936001186085387.jpg&h=57eaea43e8b070a434bf934b9ed1da23,0,False,True
Stibnite,https://www.mindat.org/xpic.php?fname=0297915001174685181.jpg&h=7ccbf0a3a4c8646bbd7bc685847080a9,0,False,True
Galena,https://www.mindat.org/photos/822/02/0822020001206053005.jpg,1,False,True
Hematite,https://www.mindat.org/photos/564/94/0564947001050453009.jpg,1,False,True
Graphite,https://www.mindat.org/photos/480/96/0480967001383025771.jpg,1,False,True
Hematite,https://www.mindat.org/photos/180/20/0180203001237861031.jpg,1,False,True
